"Question ID","Question","Location","Status","Original URL","Issue or screenshot request","Required action"
"Q-001","What is the Dashboard?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406865_WERP_Q-01.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-009","What are the main ERP sections shown in the sidebar?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406866_WERP_Q-09.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-016","How do I hide the sidebar?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406867_WERP_Q-16.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-017","What is the Overview section?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406868_WERP_Q-17.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-018","What does Total Platform Products mean?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406869_WERP_Q-18.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-020","What does Today's Orders mean?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406870_WERP_Q-20.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-023","What does Low Stock mean?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406871_WERP_Q-23.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-026","What does Out of Stock mean?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406872_WERP_Q-26.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-031","What is the Inventory Status chart?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406873_WERP_Q-31.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-033","What does Stock-Out mean?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406874_WERP_Q-33.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-034","How do I change the Inventory Status period?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406875_WERP_Q-34.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-040","What is the Order Status section?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406876_WERP_Q-40.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-041","What does Total mean in Order Status?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406877_WERP_Q-41.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-048","Does changing the date range modify orders?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406878_WERP_Q-48.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-053","What is the Sales Trends chart?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406879_WERP_Q-53.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-055","How do I change the sales period?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406880_WERP_Q-55.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-058","Why does the platform selector only show All?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406881_WERP_Q-58.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-059","Does Sales Trends show revenue or order quantity?","Dashboard","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406882_WERP_Q-59.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-063","What is Store Plans?","Sidebar > Store Plans","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406883_WERP_Q-63.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-067","What does Upgrade Plan do?","Sidebar > Store Plans","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788406884_WERP_Q-67.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-071","How do I change the ERP language?","Top bar > Select language","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407017_WERP_Q-71.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-074","What is the user button in the upper-right corner?","Top bar and account menu","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407018_WERP_Q-74.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-087","What is Product Management?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407019_WERP_Q-87.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-091","Which Product Management actions can change data?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407020_WERP_Q-91.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-094","What information appears in the Product List?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407021_WERP_Q-94.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-096","Is a SKU the same as a product name?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407022_WERP_Q-96.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-103","Why does the warehouse selector show a placeholder?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407023_WERP_Q-103.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-107","What is the general Search field?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407024_WERP_Q-107.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-109","Why does no product appear after I apply filters?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407025_WERP_Q-109.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-112","What does the Image column show in Product List?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407026_WERP_Q-112.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-114","Where can I add a product image?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407027_WERP_Q-114.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-119","Is in-transit inventory available for immediate sale?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407028_WERP_Q-119.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-134","Does clicking Add Products immediately create a product?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407029_WERP_Q-134.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-137","What does Details show in Product List?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407030_WERP_Q-137.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-144","What does Products per page mean?","Product Management > Product List","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407031_WERP_Q-144.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-151","What information appears in the Combine SKU table?","Product Management > Combine SKU","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407032_WERP_Q-151.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-152","What does Add Combine SKU do?","Product Management > Combine SKU","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407033_WERP_Q-152.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-167","What does Details do for a Combine SKU?","Product Management > Combine SKU","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407034_WERP_Q-167.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-169","What does Delete do for a Combine SKU?","Product Management > Combine SKU","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407035_WERP_Q-169.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-171","How do I search for a Combine SKU?","Product Management > Combine SKU","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407036_WERP_Q-171.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-172","What do Export and Print do on the Combine SKU page?","Product Management > Combine SKU","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407298_WERP_Q-172.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-181","What should a read-only product user be allowed to do?","Product Management","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407299_WERP_Q-181.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-183","What is the overall purpose of Inventory Management?","Inventory Management","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407300_WERP_Q-183.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-184","What is the recommended inventory workflow?","Inventory Management","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407301_WERP_Q-184.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-187","What information appears in the Merchant SKU table?","Inventory Management > Merchant SKU","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407302_WERP_Q-187.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-189","How do I search for a Merchant SKU?","Inventory Management > Merchant SKU","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407303_WERP_Q-189.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-192","Where can I add an image for a Merchant SKU?","Inventory Management > Merchant SKU","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407304_WERP_Q-192.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-198","What is SKU Mapping by Product?","Inventory Management > SKU Mapping > By Product","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407305_WERP_Q-198.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-200","What information appears in the mapping table?","Inventory Management > SKU Mapping > By Product","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407306_WERP_Q-200.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
"Q-201","What does the platform filter do in SKU Mapping > By Product?","Inventory Management > SKU Mapping > By Product","IMAGE CHECK NEEDED","https://printernoble.com/chatbot/uploads/1788407307_WERP_Q-201.png","","Not fetched or visually verified; host unavailable. Confirm correct page, action, label, and eligible status before use."
