"Question ID","Question","Location","Markers","Reason","Original question","Original answer","Revised customer answer","Alternative questions","Review references"
"Q-001","What is the Dashboard?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","What is the Dashboard?","The Dashboard is the main summary page of the ERP. It gives you a quick view of products, orders, inventory activity, sales trends, and store subscriptions.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406865_WERP_Q-01.png","Location: Dashboard
The Dashboard is the main summary page of the ERP. It gives you a quick view of products, orders, inventory activity, sales trends, and store subscriptions.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-002","Why should I use the Dashboard?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why should I use the Dashboard?","It helps you understand the overall condition of your business without opening every section separately.
You can quickly identify:
Order activity
Inventory movement
Low-stock products
Out-of-stock products
Sales patterns
Subscription issues","Location: Dashboard
It helps you understand the overall condition of your business without opening every section separately.
You can quickly identify:
- Order activity
- Inventory movement
- Low-stock products
- Out-of-stock products
- Sales patterns
- Subscription issues","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-003","Does opening the Dashboard change any business data?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Does opening the Dashboard change any business data?","No. Viewing the Dashboard does not add, edit, or delete products, orders, or inventory.","Location: Dashboard
No. Viewing the Dashboard does not add, edit, or delete products, orders, or inventory.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-004","How do I return to the Dashboard?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","How do I return to the Dashboard?","Click Dashboard in the main sidebar.","Location: Dashboard
Click Dashboard in the main sidebar.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-005","Why does the Dashboard take time to load?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Removed unverified claims that opening Dashboard synchronizes marketplaces.","Why does the Dashboard take time to load?","The ERP may be collecting information from products, orders, warehouses, and connected marketplace stores.
Loading can take longer when:
The internet connection is slow.
A marketplace is responding slowly.
The account contains many records.
The page is synchronizing information.","Location: Dashboard
Dashboard loads summary information from your company records. A slow connection, a busy service, or a large result can delay the page. Wait for the loading state to finish, then reload once if it remains stuck. Contact support with the error if the summary still does not load.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-006","Why is some Dashboard information empty?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why is some Dashboard information empty?","Possible reasons include:
No marketplace store is connected.
No products have been added or synchronized.
No inventory has been received.
No orders exist for the selected period.
The account is new.
A filter excludes the available information.
Synchronization has not completed.","Location: Dashboard
Possible reasons include:
No marketplace store is connected.
No products have been added or synchronized.
No inventory has been received.
No orders exist for the selected period.
The account is new.
A filter excludes the available information.
Synchronization has not completed.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-007","Does an empty Dashboard mean the ERP is broken?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Does an empty Dashboard mean the ERP is broken?","No. A new account can display empty charts and summaries until stores, products, inventory, and orders are added.","Location: Dashboard
No. A new account can display empty charts and summaries until stores, products, inventory, and orders are added.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-008","Does the Dashboard update automatically?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Replaced an unsupported automatic-refresh implication with the actual loading behavior.","Does the Dashboard update automatically?","Some information may refresh when the ERP receives new product, inventory, or order information.
If something appears outdated, refresh the page and check the relevant detailed section.","Location: Dashboard
The Dashboard loads information when you open it. Changing a chart period or platform loads that selection. To check for newer information, reload the page and wait for loading to finish. It does not provide a continuously updating live feed.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-009","What are the main ERP sections shown in the sidebar?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Completed the customer menu list; excluded the local-only Chat page.","What are the main ERP sections shown in the sidebar?","The main sections are:
Dashboard
Product Management
Inventory Management
Order Management
Warehouse Management
System Configuration
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406866_WERP_Q-09.png","Location: Dashboard
The sidebar contains Dashboard, Product Management, Inventory Management, Order Management, Warehouse Management, System Configuration, Help Center, and Contact. Expand a section to see its pages. A Sub Account may see fewer pages because of its assigned role.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-010","What is Product Management?","Product Management","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What is Product Management?","Product Management contains the product catalog and combined-product bundles.","Location: Product Management
Product Management contains the product catalog and combined-product bundles.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/productManagement; src/features/inventoryManagement/merchantSKU | Backend: modules/merchantSkus; modules/combineskus"
